horizon,auc,log_loss,brier,n_samples
1,0.9546760822385932,0.24480625137010525,0.07402384821966493,2879
2,0.9248912827394264,0.30917107575931135,0.09598029581174113,2878
3,0.9139927418040485,0.33022275624806774,0.10308854939880914,2877
4,0.8976700526458725,0.3558670032330884,0.11199649080437744,2876
5,0.8562182612893446,0.41428614310824846,0.13092218766449756,2875
6,0.8305435646087204,0.4443732342787213,0.14160284269121065,2874
7,0.8201527118548674,0.4558798961016319,0.14566958541090955,2873
8,0.8086560064922866,0.4675607057315436,0.15037452937713017,2872
9,0.7840153393351366,0.49150092395539347,0.15875279288836688,2871
10,0.7672489351656522,0.5056575152714238,0.16405925159504461,2870
11,0.7572974780871334,0.5133961850784324,0.16715605188717642,2869
12,0.7524324834749765,0.5173652959334015,0.16896411665949754,2868
13,0.7437300725802487,0.5236985364428464,0.17106505639921257,2867
14,0.7384772992380058,0.5314267388896511,0.17416285508809604,2866
15,0.7343102343272998,0.5364019068083625,0.17636697043508706,2865
16,0.737491993812768,0.5341946963803414,0.17561486519806346,2864
17,0.7269305600446159,0.5362891269283111,0.17660822135012924,2863
18,0.7215698518586209,0.5404704383548533,0.17842625108137625,2862
19,0.7113677928211307,0.5459554889449946,0.18088592365111023,2861
20,0.7139058359994808,0.5432049942264636,0.17985634143353346,2860
21,0.713575815036975,0.5407680764250147,0.17898454867449584,2859
22,0.7116147308781869,0.5447301899466997,0.18061274117831339,2858
23,0.7045755116591981,0.5494578836012833,0.18291281935966794,2857
24,0.7006149381607131,0.5516206834287203,0.18397114050799923,2856
